Iteracao,Gbest_Erro,Kp_best,Ki_best,Kd_best
0.0,13.87,3.4,1.05,0.01
0.0,13.87,3.4,1.05,0.01
1.0,13.87,3.4,1.05,0.01
1.0,11.63,3.4,1.05,0.01
1.0,11.44,2.38,0.81,0.05
2.0,11.44,2.38,0.81,0.05
2.0,11.44,2.38,0.81,0.05
2.0,11.44,2.38,0.81,0.05
3.0,11.44,2.38,0.81,0.05
3.0,10.93,2.6,1.04,0.04
3.0,10.93,2.6,1.04,0.04
4.0,10.93,2.6,1.04,0.04
4.0,10.93,2.6,1.04,0.04
4.0,10.93,2.6,1.04,0.04
5.0,10.93,2.6,1.04,0.04
5.0,10.93,2.6,1.04,0.04
5.0,10.93,2.6,1.04,0.04
6.0,10.93,2.6,1.04,0.04
6.0,10.93,2.6,1.04,0.04
6.0,10.93,2.6,1.04,0.04
7.0,10.93,2.6,1.04,0.04
7.0,10.93,2.6,1.04,0.04
7.0,10.16,2.55,0.71,0.01
8.0,10.16,2.55,0.71,0.01
8.0,10.16,2.55,0.71,0.01
8.0,10.16,2.55,0.71,0.01
9.0,10.16,2.55,0.71,0.01
9.0,10.16,2.55,0.71,0.01
9.0,10.16,2.55,0.71,0.01
10.0,8.64,3.68,0.62,0.0
10.0,8.64,3.68,0.62,0.0
10.0,8.64,3.68,0.62,0.0
11.0,8.64,3.68,0.62,0.0
11.0,8.64,3.68,0.62,0.0
11.0,8.64,3.68,0.62,0.0
12.0,8.64,3.68,0.62,0.0
12.0,8.64,3.68,0.62,0.0
12.0,8.64,3.68,0.62,0.0
13.0,8.64,3.68,0.62,0.0
13.0,8.64,3.68,0.62,0.0
13.0,8.64,3.68,0.62,0.0
14.0,8.64,3.68,0.62,0.0
14.0,8.64,3.68,0.62,0.0
14.0,8.64,3.68,0.62,0.0
15.0,8.64,3.68,0.62,0.0
15.0,8.64,3.68,0.62,0.0
15.0,8.64,3.68,0.62,0.0
16.0,8.64,3.68,0.62,0.0
16.0,8.64,3.68,0.62,0.0
16.0,8.52,4.57,0.43,0.01
17.0,8.52,4.57,0.43,0.01
17.0,8.52,4.57,0.43,0.01
17.0,8.52,4.57,0.43,0.01
18.0,8.52,4.57,0.43,0.01
18.0,8.52,4.57,0.43,0.01
18.0,8.52,4.57,0.43,0.01
19.0,8.52,4.57,0.43,0.01
19.0,8.52,4.57,0.43,0.01
19.0,8.52,4.57,0.43,0.01
20.0,8.52,4.57,0.43,0.01
20.0,8.52,4.57,0.43,0.01
20.0,8.09,4.33,0.75,0.01
21.0,8.09,4.33,0.75,0.01
21.0,8.09,4.33,0.75,0.01
21.0,8.09,4.33,0.75,0.01
22.0,8.09,4.33,0.75,0.01
22.0,8.09,4.33,0.75,0.01
22.0,7.8,4.33,0.75,0.01
23.0,7.8,4.33,0.75,0.01
23.0,7.8,4.33,0.75,0.01
23.0,7.64,4.34,0.75,0.01
24.0,7.64,4.34,0.75,0.01
24.0,7.27,4.87,0.3,0.01
24.0,7.27,4.87,0.3,0.01
25.0,7.27,4.87,0.3,0.01
25.0,7.27,4.87,0.3,0.01
25.0,7.27,4.87,0.3,0.01
26.0,7.27,4.87,0.3,0.01
26.0,7.27,4.87,0.3,0.01
26.0,7.27,4.87,0.3,0.01
27.0,7.27,4.87,0.3,0.01
27.0,7.27,4.87,0.3,0.01
27.0,7.27,4.87,0.3,0.01
28.0,7.27,4.87,0.3,0.01
28.0,7.27,4.87,0.3,0.01
28.0,7.27,4.87,0.3,0.01
29.0,7.27,4.87,0.3,0.01
29.0,7.27,4.87,0.3,0.01
29.0,7.27,4.87,0.3,0.01
30.0,7.27,4.87,0.3,0.01
30.0,7.27,4.87,0.3,0.01
30.0,7.27,4.87,0.3,0.01
31.0,7.27,4.87,0.3,0.01
31.0,7.27,4.87,0.3,0.01
31.0,7.27,4.87,0.3,0.01
32.0,7.27,4.87,0.3,0.01
32.0,7.27,4.87,0.3,0.01
32.0,7.27,4.87,0.3,0.01
33.0,7.27,4.87,0.3,0.01
33.0,7.27,4.87,0.3,0.01
33.0,7.27,4.87,0.3,0.01
34.0,7.27,4.87,0.3,0.01
34.0,7.14,4.88,0.34,0.01
34.0,7.14,4.88,0.34,0.01
35.0,7.14,4.88,0.34,0.01
35.0,7.14,4.88,0.34,0.01
