Iteracao,Particula,Distancia,PWM,Erro_Atual,Gbest_Erro
0,0,25.41,20.47,4.59,10000000.00
0,0,25.41,44.79,4.59,10000000.00
0,0,25.95,65.94,4.05,10000000.00
0,0,26.90,63.05,3.10,10000000.00
0,0,27.45,61.19,2.55,10000000.00
0,0,27.59,60.69,2.41,10000000.00
0,0,26.08,62.25,3.92,10000000.00
0,0,37.24,-9.11,-7.24,10000000.00
0,0,33.99,-18.29,-3.99,10000000.00
0,0,37.24,-65.24,-7.24,10000000.00
0,0,33.99,-66.05,-3.99,10000000.00
0,0,37.24,-77.13,-7.24,10000000.00
0,0,28.15,-44.22,1.85,10000000.00
0,0,28.15,-40.09,1.85,10000000.00
0,0,29.15,-46.24,0.85,10000000.00
0,0,28.72,-46.74,1.28,10000000.00
0,0,21.26,-12.64,8.74,10000000.00
0,0,33.21,-63.38,-3.21,10000000.00
0,0,32.12,-59.73,-2.12,10000000.00
0,0,33.99,-66.10,-3.99,10000000.00
0,0,29.15,-48.70,0.85,10000000.00
0,0,29.88,-33.63,0.12,10000000.00
0,0,29.15,-29.93,0.85,10000000.00
0,0,29.30,-30.72,0.70,10000000.00
0,0,29.30,-18.15,0.70,10000000.00
0,0,29.01,-14.59,0.99,10000000.00
0,0,21.74,22.27,8.26,10000000.00
0,0,29.73,6.50,0.27,10000000.00
0,0,29.88,16.66,0.12,10000000.00
0,0,29.88,16.84,0.12,10000000.00
0,0,29.73,7.53,0.27,10000000.00
0,0,29.88,12.42,0.12,10000000.00
0,0,29.01,10.17,0.99,10000000.00
0,0,26.35,13.86,3.65,10000000.00
0,0,31.82,5.00,-1.82,10000000.00
0,0,36.91,-9.28,-6.91,10000000.00
0,0,27.04,34.79,2.96,10000000.00
0,0,33.52,26.76,-3.52,10000000.00
0,0,34.15,18.09,-4.15,10000000.00
0,0,36.91,-21.44,-6.91,10000000.00
0,0,37.24,-54.35,-7.24,10000000.00
0,0,36.25,-73.78,-6.25,10000000.00
0,0,25.81,-33.75,4.19,10000000.00
0,0,28.01,-43.58,1.99,10000000.00
0,0,28.15,-40.57,1.85,10000000.00
0,0,34.79,-68.79,-4.79,10000000.00
0,0,27.59,-41.69,2.41,10000000.00
0,0,30.47,-54.09,-0.47,10000000.00
0,0,33.36,-63.96,-3.36,10000000.00
0,0,29.73,-51.17,0.27,10000000.00
0,0,31.06,-56.08,-1.06,10000000.00
0,0,33.52,-64.47,-3.52,10000000.00
0,0,31.52,-57.65,-1.52,10000000.00
0,0,32.74,-61.83,-2.74,10000000.00
0,0,31.67,-58.17,-1.67,10000000.00
0,0,30.92,-55.09,-0.92,10000000.00
0,0,30.92,-55.60,-0.92,10000000.00
0,0,29.88,-44.41,0.12,10000000.00
0,0,29.88,-45.32,0.12,10000000.00
0,0,29.88,-38.02,0.12,10000000.00
0,0,29.30,-33.72,0.70,10000000.00
0,0,29.30,-32.93,0.70,10000000.00
0,0,27.73,-22.72,2.27,10000000.00
0,0,31.52,-26.19,-1.52,10000000.00
0,0,30.47,-20.47,-0.47,10000000.00
0,0,30.62,-17.16,-0.62,10000000.00
0,0,28.58,4.02,1.42,10000000.00
0,0,27.59,15.64,2.41,10000000.00
0,0,28.72,18.80,1.28,10000000.00
0,0,28.72,22.92,1.28,10000000.00
0,0,29.15,26.05,0.85,10000000.00
0,0,28.29,41.80,1.71,10000000.00
0,0,32.89,32.27,-2.89,10000000.00
0,0,29.88,41.46,0.12,10000000.00
0,0,29.88,50.66,0.12,10000000.00
0,0,30.47,44.43,-0.47,10000000.00
0,0,28.72,51.00,1.28,10000000.00
0,0,30.47,36.48,-0.47,10000000.00
0,0,29.15,50.64,0.85,10000000.00
0,0,26.49,64.44,3.51,10000000.00
0,0,22.97,76.42,7.03,10000000.00
0,0,28.01,55.26,1.99,10000000.00
0,0,37.57,-11.65,-7.57,10000000.00
0,0,36.74,-46.28,-6.74,10000000.00
0,0,37.24,-76.64,-7.24,10000000.00
0,0,37.24,-77.12,-7.24,10000000.00
0,0,37.24,-77.12,-7.24,10000000.00
0,0,34.15,-66.59,-4.15,10000000.00
0,0,20.21,-8.79,9.79,10000000.00
0,0,36.74,-75.45,-6.74,10000000.00
0,0,36.91,-75.98,-6.91,10000000.00
0,0,36.41,-74.33,-6.41,10000000.00
0,0,37.24,-76.14,-7.24,10000000.00
0,0,28.72,-43.51,1.28,10000000.00
0,0,32.28,-55.05,-2.28,10000000.00
0,0,31.52,-57.64,-1.52,10000000.00
0,0,31.52,-57.66,-1.52,10000000.00
0,0,29.88,-51.93,0.12,10000000.00
0,0,34.15,-66.63,-4.15,10000000.00
0,0,30.92,-55.61,-0.92,10000000.00
0,0,33.36,-63.96,-3.36,10000000.00
0,0,31.06,-56.11,-1.06,10000000.00
0,0,32.74,-61.82,-2.74,10000000.00
0,0,30.47,-54.08,-0.47,10000000.00
0,0,30.32,-47.24,-0.32,10000000.00
0,0,30.47,-50.16,-0.47,10000000.00
0,0,22.59,-15.95,7.41,10000000.00
0,0,29.88,-40.62,0.12,10000000.00
0,0,29.88,-39.99,0.12,10000000.00
0,0,29.88,-37.57,0.12,10000000.00
0,0,29.88,-35.11,0.12,10000000.00
0,0,29.88,-31.45,0.12,10000000.00
0,0,28.58,-20.61,1.42,10000000.00
0,0,28.72,-13.98,1.28,10000000.00
0,0,28.72,-7.88,1.28,10000000.00
0,0,28.72,-1.02,1.28,10000000.00
0,0,28.15,20.81,1.85,10000000.00
0,0,28.72,26.84,1.28,10000000.00
0,0,28.72,33.10,1.28,10000000.00
0,1,25.41,17.17,4.59,13.87
0,1,26.08,52.02,3.92,13.87
0,1,26.49,83.28,3.51,13.87
0,1,27.04,94.72,2.96,13.87
0,1,28.15,92.70,1.85,13.87
0,1,27.59,93.78,2.41,13.87
0,1,37.24,56.20,-7.24,13.87
0,1,28.44,44.26,1.56,13.87
0,1,37.24,-6.28,-7.24,13.87
0,1,37.24,-71.02,-7.24,13.87
0,1,37.24,-102.54,-7.24,13.87
0,1,37.24,-102.54,-7.24,13.87
0,1,37.07,-102.21,-7.07,13.87
0,1,33.52,-95.75,-3.52,13.87
0,1,29.88,-62.40,0.12,13.87
0,1,30.62,-87.14,-0.62,13.87
0,1,31.67,-92.65,-1.67,13.87
0,1,21.74,-55.54,8.26,13.87
0,1,28.72,-45.10,1.28,13.87
0,1,28.72,-32.30,1.28,13.87
0,1,27.59,-12.59,2.41,13.87
0,1,27.59,6.17,2.41,13.87
0,1,28.15,22.32,1.85,13.87
0,1,28.15,54.00,1.85,13.87
0,1,28.29,66.73,1.71,13.87
0,1,29.30,74.13,0.70,13.87
0,1,29.88,75.30,0.12,13.87
0,1,22.23,104.47,7.77,13.87
0,1,30.47,80.19,-0.47,13.87
0,1,36.08,56.93,-6.08,13.87
0,1,35.27,4.91,-5.27,13.87
0,1,37.24,-49.57,-7.24,13.87
0,1,37.24,-102.54,-7.24,13.87
0,1,37.24,-102.54,-7.24,13.87
0,1,30.92,-90.72,-0.92,13.87
0,1,30.47,-71.26,-0.47,13.87
0,1,29.30,-53.14,0.70,13.87
0,1,28.01,-54.98,1.99,13.87
0,1,29.88,-57.59,0.12,13.87
0,1,30.47,-55.87,-0.47,13.87
0,1,34.31,-63.72,-4.31,13.87
0,1,31.06,-63.43,-1.06,13.87
0,1,31.06,-70.88,-1.06,13.87
0,1,29.88,-40.47,0.12,13.87
0,1,30.62,-44.54,-0.62,13.87
0,1,29.30,-37.93,0.70,13.87
0,1,29.30,-31.57,0.70,13.87
0,1,28.72,-18.84,1.28,13.87
0,1,28.72,-8.38,1.28,13.87
0,1,28.72,3.24,1.28,13.87
0,1,28.72,12.31,1.28,13.87
0,1,28.72,23.73,1.28,13.87
0,1,28.72,34.13,1.28,13.87
0,1,27.45,52.33,2.55,13.87
0,1,29.30,59.11,0.70,13.87
0,1,29.88,60.30,0.12,13.87
0,1,30.03,77.37,-0.03,13.87
0,1,30.47,63.51,-0.47,13.87
0,1,30.17,58.55,-0.17,13.87
0,1,30.77,59.33,-0.77,13.87
0,1,36.41,49.26,-6.41,13.87
0,1,36.41,33.71,-6.41,13.87
0,1,37.24,-30.67,-7.24,13.87
0,1,37.24,-92.95,-7.24,13.87
0,1,37.24,-102.54,-7.24,13.87
0,1,37.07,-102.44,-7.07,13.87
0,1,36.41,-101.55,-6.41,13.87
0,1,29.30,-85.50,0.70,13.87
0,1,31.06,-78.88,-1.06,13.87
0,1,30.47,-89.91,-0.47,13.87
0,1,30.92,-90.88,-0.92,13.87
0,1,30.47,-68.00,-0.47,13.87
0,1,30.47,-71.13,-0.47,13.87
0,1,28.01,-62.26,1.99,13.87
0,1,29.30,-58.96,0.70,13.87
0,1,29.15,-53.35,0.85,13.87
0,1,29.30,-47.37,0.70,13.87
0,1,28.15,-30.80,1.85,13.87
0,1,28.15,-12.56,1.85,13.87
0,1,27.45,8.50,2.55,13.87
0,1,27.59,27.81,2.41,13.87
0,1,27.04,66.46,2.96,13.87
0,1,27.59,93.71,2.41,13.87
0,1,27.59,93.71,2.41,13.87
0,1,28.15,92.73,1.85,13.87
0,1,28.72,91.64,1.28,13.87
0,1,29.30,90.59,0.70,13.87
0,1,29.30,88.33,0.70,13.87
