Iteração,Gbest_Erro, Kp_best, Ki_best, Kd_best
0,17361.75,3.72,1.05,0.01
0,17361.75,3.72,1.05,0.01
0,5783.07,4.02,0.18,0.79
0,5783.07,4.02,0.18,0.79
0,5783.07,4.02,0.18,0.79
0,5783.07,4.02,0.18,0.79
1,5783.07,4.02,0.18,0.79
1,5783.07,4.02,0.18,0.79
1,5783.07,4.02,0.18,0.79
1,5783.07,4.02,0.18,0.79
1,5783.07,4.02,0.18,0.79
1,5783.07,4.02,0.18,0.79
1,5783.07,4.02,0.18,0.79
2,5783.07,4.02,0.18,0.79
2,5783.07,4.02,0.18,0.79
2,5783.07,4.02,0.18,0.79
2,5783.07,4.02,0.18,0.79
2,5783.07,4.02,0.18,0.79
2,5783.07,4.02,0.18,0.79
2,5783.07,4.02,0.18,0.79
3,5783.07,4.02,0.18,0.79
3,5783.07,4.02,0.18,0.79
3,5783.07,4.02,0.18,0.79
3,5783.07,4.02,0.18,0.79
3,5783.07,4.02,0.18,0.79
3,5783.07,4.02,0.18,0.79
3,5783.07,4.02,0.18,0.79
4,5783.07,4.02,0.18,0.79
4,5783.07,4.02,0.18,0.79
4,5783.07,4.02,0.18,0.79
4,5783.07,4.02,0.18,0.79
4,5783.07,4.02,0.18,0.79
4,5783.07,4.02,0.18,0.79
4,5783.07,4.02,0.18,0.79
5,5783.07,4.02,0.18,0.79
5,5783.07,4.02,0.18,0.79
5,5783.07,4.02,0.18,0.79
5,5783.07,4.02,0.18,0.79
5,5783.07,4.02,0.18,0.79
5,5783.07,4.02,0.18,0.79
5,5783.07,4.02,0.18,0.79
6,5783.07,4.02,0.18,0.79
6,5783.07,4.02,0.18,0.79
6,5783.07,4.02,0.18,0.79
6,5783.07,4.02,0.18,0.79
6,5783.07,4.02,0.18,0.79
6,5783.07,4.02,0.18,0.79
6,5783.07,4.02,0.18,0.79
7,5783.07,4.02,0.18,0.79
7,5783.07,4.02,0.18,0.79
7,5783.07,4.02,0.18,0.79
7,5783.07,4.02,0.18,0.79
7,5783.07,4.02,0.18,0.79
7,5783.07,4.02,0.18,0.79
7,5783.07,4.02,0.18,0.79
8,5783.07,4.02,0.18,0.79
8,5783.07,4.02,0.18,0.79
8,5783.07,4.02,0.18,0.79
8,5783.07,4.02,0.18,0.79
8,5783.07,4.02,0.18,0.79
8,5783.07,4.02,0.18,0.79
8,5783.07,4.02,0.18,0.79
9,5783.07,4.02,0.18,0.79
9,5783.07,4.02,0.18,0.79
9,5783.07,4.02,0.18,0.79
9,5783.07,4.02,0.18,0.79
9,5783.07,4.02,0.18,0.79
9,5783.07,4.02,0.18,0.79
9,5783.07,4.02,0.18,0.79
10,5783.07,4.02,0.18,0.79
10,5783.07,4.02,0.18,0.79
10,5783.07,4.02,0.18,0.79
10,5783.07,4.02,0.18,0.79
10,5783.07,4.02,0.18,0.79
10,5783.07,4.02,0.18,0.79
10,5783.07,4.02,0.18,0.79
11,5783.07,4.02,0.18,0.79
11,5783.07,4.02,0.18,0.79
11,5783.07,4.02,0.18,0.79
11,5783.07,4.02,0.18,0.79
11,5783.07,4.02,0.18,0.79
11,5783.07,4.02,0.18,0.79
11,5783.07,4.02,0.18,0.79
12,5783.07,4.02,0.18,0.79
12,5783.07,4.02,0.18,0.79
12,5783.07,4.02,0.18,0.79
12,5783.07,4.02,0.18,0.79
12,5783.07,4.02,0.18,0.79
12,5783.07,4.02,0.18,0.79
12,5783.07,4.02,0.18,0.79
13,5783.07,4.02,0.18,0.79
13,5783.07,4.02,0.18,0.79
13,5783.07,4.02,0.18,0.79
13,5783.07,4.02,0.18,0.79
13,5783.07,4.02,0.18,0.79
13,5783.07,4.02,0.18,0.79
13,5783.07,4.02,0.18,0.79
14,5783.07,4.02,0.18,0.79
14,5783.07,4.02,0.18,0.79
14,5783.07,4.02,0.18,0.79
14,5783.07,4.02,0.18,0.79
14,5783.07,4.02,0.18,0.79
14,5783.07,4.02,0.18,0.79
14,5783.07,4.02,0.18,0.79
15,5783.07,4.02,0.18,0.79
15,5783.07,4.02,0.18,0.79
15,5783.07,4.02,0.18,0.79
15,5783.07,4.02,0.18,0.79
15,5783.07,4.02,0.18,0.79
15,5783.07,4.02,0.18,0.79
15,5783.07,4.02,0.18,0.79
16,5783.07,4.02,0.18,0.79
16,5783.07,4.02,0.18,0.79
16,5783.07,4.02,0.18,0.79
16,5783.07,4.02,0.18,0.79
16,5783.07,4.02,0.18,0.79
16,5783.07,4.02,0.18,0.79
16,5783.07,4.02,0.18,0.79
17,5783.07,4.02,0.18,0.79
17,5783.07,4.02,0.18,0.79
17,5783.07,4.02,0.18,0.79
17,5783.07,4.02,0.18,0.79
17,5783.07,4.02,0.18,0.79
17,5783.07,4.02,0.18,0.79
17,5783.07,4.02,0.18,0.79
18,5783.07,4.02,0.18,0.79
18,5783.07,4.02,0.18,0.79
18,5783.07,4.02,0.18,0.79
18,5783.07,4.02,0.18,0.79
18,5783.07,4.02,0.18,0.79
18,5783.07,4.02,0.18,0.79
18,5783.07,4.02,0.18,0.79
19,5783.07,4.02,0.18,0.79
19,5783.07,4.02,0.18,0.79
19,5783.07,4.02,0.18,0.79
19,5783.07,4.02,0.18,0.79
19,5783.07,4.02,0.18,0.79
19,5783.07,4.02,0.18,0.79
19,5783.07,4.02,0.18,0.79
20,5783.07,4.02,0.18,0.79
20,5783.07,4.02,0.18,0.79
20,5783.07,4.02,0.18,0.79
20,5783.07,4.02,0.18,0.79
20,5783.07,4.02,0.18,0.79
20,5783.07,4.02,0.18,0.79
20,5783.07,4.02,0.18,0.79
21,5783.07,4.02,0.18,0.79
21,5783.07,4.02,0.18,0.79
21,5783.07,4.02,0.18,0.79
21,5783.07,4.02,0.18,0.79
21,5783.07,4.02,0.18,0.79
21,5783.07,4.02,0.18,0.79
21,5783.07,4.02,0.18,0.79
22,5783.07,4.02,0.18,0.79
22,5783.07,4.02,0.18,0.79
22,5783.07,4.02,0.18,0.79
22,5783.07,4.02,0.18,0.79
22,5783.07,4.02,0.18,0.79
22,5783.07,4.02,0.18,0.79
22,5783.07,4.02,0.18,0.79
23,5783.07,4.02,0.18,0.79
23,5783.07,4.02,0.18,0.79
23,5783.07,4.02,0.18,0.79
23,5783.07,4.02,0.18,0.79
23,5783.07,4.02,0.18,0.79
23,5783.07,4.02,0.18,0.79
23,5783.07,4.02,0.18,0.79
24,5783.07,4.02,0.18,0.79
24,5783.07,4.02,0.18,0.79
24,5783.07,4.02,0.18,0.79
24,5783.07,4.02,0.18,0.79
24,5783.07,4.02,0.18,0.79
24,5783.07,4.02,0.18,0.79
24,5783.07,4.02,0.18,0.79
25,5783.07,4.02,0.18,0.79
25,5783.07,4.02,0.18,0.79
25,5783.07,4.02,0.18,0.79
25,5783.07,4.02,0.18,0.79
25,5783.07,4.02,0.18,0.79
25,5783.07,4.02,0.18,0.79
25,5783.07,4.02,0.18,0.79
26,5783.07,4.02,0.18,0.79
26,5783.07,4.02,0.18,0.79
26,5783.07,4.02,0.18,0.79
26,5783.07,4.02,0.18,0.79
26,5783.07,4.02,0.18,0.79
26,5783.07,4.02,0.18,0.79
26,5783.07,4.02,0.18,0.79
27,5783.07,4.02,0.18,0.79
27,5783.07,4.02,0.18,0.79
27,5783.07,4.02,0.18,0.79
27,5783.07,4.02,0.18,0.79
27,5783.07,4.02,0.18,0.79
27,5783.07,4.02,0.18,0.79
27,5783.07,4.02,0.18,0.79
28,5783.07,4.02,0.18,0.79
28,5783.07,4.02,0.18,0.79
28,5783.07,4.02,0.18,0.79
28,5783.07,4.02,0.18,0.79
28,5783.07,4.02,0.18,0.79
28,5783.07,4.02,0.18,0.79
28,5783.07,4.02,0.18,0.79
29,5783.07,4.02,0.18,0.79
29,5783.07,4.02,0.18,0.79
29,5783.07,4.02,0.18,0.79
29,5783.07,4.02,0.18,0.79
29,5783.07,4.02,0.18,0.79
29,5783.07,4.02,0.18,0.79
29,5783.07,4.02,0.18,0.79
30,5783.07,4.02,0.18,0.79
30,5783.07,4.02,0.18,0.79
30,5783.07,4.02,0.18,0.79
30,5783.07,4.02,0.18,0.79
30,5783.07,4.02,0.18,0.79
30,5783.07,4.02,0.18,0.79
30,5783.07,4.02,0.18,0.79
31,5783.07,4.02,0.18,0.79
31,5783.07,4.02,0.18,0.79
31,5783.07,4.02,0.18,0.79
31,5182.73,4.02,0.18,0.79
31,5182.73,4.02,0.18,0.79
31,5182.73,4.02,0.18,0.79
31,5182.73,4.02,0.18,0.79
32,5182.73,4.02,0.18,0.79
32,5182.73,4.02,0.18,0.79
32,5182.73,4.02,0.18,0.79
32,4550.49,4.02,0.18,0.79
32,4550.49,4.02,0.18,0.79
32,4508.84,4.10,0.09,0.79
32,4470.50,4.76,0.25,0.00
33,4470.50,4.76,0.25,0.00
33,4470.50,4.76,0.25,0.00
33,4470.50,4.76,0.25,0.00
33,4470.50,4.76,0.25,0.00
33,4470.50,4.76,0.25,0.00
33,4470.50,4.76,0.25,0.00
33,4470.50,4.76,0.25,0.00
34,4470.50,4.76,0.25,0.00
34,3159.22,4.13,0.20,0.49
34,3159.22,4.13,0.20,0.49
34,3159.22,4.13,0.20,0.49
34,3159.22,4.13,0.20,0.49
34,3159.22,4.13,0.20,0.49
34,3159.22,4.13,0.20,0.49
35,3159.22,4.13,0.20,0.49
35,3159.22,4.13,0.20,0.49
35,3159.22,4.13,0.20,0.49
