Iteracao,Particula,Distancia,PWM,Erro_Atual,Gbest_Erro, Passo
0,0,25.06,190.91,39.94,10000000.00,0.90
0,0,39.02,149.20,25.98,10000000.00,0.90
0,0,39.66,146.84,25.34,10000000.00,0.90
0,0,39.81,146.29,25.19,10000000.00,0.90
0,0,39.87,146.05,25.13,10000000.00,0.90
0,0,39.90,145.93,25.10,10000000.00,0.90
0,0,39.92,145.85,25.08,10000000.00,0.90
0,0,40.59,143.36,24.41,10000000.00,0.90
0,0,60.88,67.80,4.12,10000000.00,0.90
0,0,88.74,-128.39,-23.74,10000000.00,0.90
0,0,89.65,-144.26,-24.65,10000000.00,0.90
0,0,68.66,-66.05,-3.66,10000000.00,0.90
0,0,51.98,34.14,13.02,10000000.00,0.90
0,0,44.09,130.33,20.91,10000000.00,0.90
0,0,44.34,129.40,20.66,10000000.00,0.90
0,0,59.18,74.13,5.82,10000000.00,0.90
0,0,84.02,-80.26,-19.02,10000000.00,0.90
0,0,88.99,-141.80,-23.99,10000000.00,0.90
0,0,78.07,-101.13,-13.07,10000000.00,0.90
0,0,58.80,-21.42,6.20,10000000.00,0.90
0,0,47.66,93.97,17.34,10000000.00,0.90
0,0,45.96,123.36,19.04,10000000.00,0.90
0,0,50.60,106.10,14.40,10000000.00,0.90
0,0,61.37,65.97,3.63,10000000.00,0.90
0,0,79.67,-32.69,-14.67,10000000.00,0.90
0,0,86.66,-133.13,-21.66,10000000.00,0.90
0,0,79.00,-104.58,-14.00,10000000.00,0.90
0,0,64.91,-52.02,0.09,10000000.00,0.90
0,0,52.86,40.72,12.14,10000000.00,0.90
0,0,50.68,105.79,14.32,10000000.00,0.90
0,0,51.51,102.71,13.49,10000000.00,0.90
0,0,53.97,93.57,11.03,10000000.00,0.90
0,0,66.19,46.81,-1.19,10000000.00,0.90
0,0,75.83,-30.27,-10.83,10000000.00,0.90
0,0,76.10,-84.18,-11.10,10000000.00,0.90
0,0,75.78,-92.62,-10.78,10000000.00,0.90
0,0,67.94,-63.44,-2.94,10000000.00,0.90
0,0,56.54,6.49,8.46,10000000.00,0.90
0,0,54.17,67.83,10.83,10000000.00,0.90
0,0,52.45,99.23,12.55,10000000.00,0.90
0,0,54.44,91.80,10.56,10000000.00,0.90
0,0,58.35,77.22,6.65,10000000.00,0.90
0,0,64.64,53.81,0.36,10000000.00,0.90
0,0,71.29,6.96,-6.29,10000000.00,0.90
0,0,75.16,-53.78,-10.16,10000000.00,0.90
0,0,74.13,-86.47,-9.13,10000000.00,0.90
0,0,69.67,-69.89,-4.67,10000000.00,0.90
0,0,63.58,-44.87,1.42,10000000.00,0.90
0,0,59.15,-2.99,5.85,10000000.00,0.90
0,0,56.02,52.63,8.98,10000000.00,0.90
0,0,55.55,87.66,9.45,10000000.00,0.90
0,0,55.37,88.34,9.63,10000000.00,0.90
0,0,57.21,81.50,7.79,10000000.00,0.90
0,0,59.10,74.48,5.90,10000000.00,0.90
0,0,66.13,47.09,-1.13,10000000.00,0.90
0,0,71.87,11.33,-6.87,10000000.00,0.90
0,0,69.61,-18.08,-4.61,10000000.00,0.90
0,0,73.45,-77.18,-8.45,10000000.00,0.90
0,0,70.99,-74.78,-5.99,10000000.00,0.90
0,0,63.62,-45.89,1.38,10000000.00,0.90
0,0,60.10,-10.23,4.90,10000000.00,0.90
0,0,57.72,36.36,7.28,10000000.00,0.90
0,0,56.81,82.97,8.19,10000000.00,0.90
0,0,57.12,81.83,7.88,10000000.00,0.90
0,0,58.90,75.20,6.10,10000000.00,0.90
0,0,62.33,62.43,2.67,10000000.00,0.90
0,0,65.41,50.52,-0.41,10000000.00,0.90
0,0,70.90,8.30,-5.90,10000000.00,0.90
0,0,72.78,-36.88,-7.78,10000000.00,0.90
0,0,72.31,-72.32,-7.31,10000000.00,0.90
0,0,71.21,-75.59,-6.21,10000000.00,0.90
0,0,65.77,-55.35,-0.77,10000000.00,0.90
0,0,61.30,-27.35,3.70,10000000.00,0.90
0,0,59.08,8.53,5.92,10000000.00,0.90
0,0,57.62,49.25,7.38,10000000.00,0.90
0,0,57.08,81.98,7.92,10000000.00,0.90
0,0,57.00,82.29,8.00,10000000.00,0.90
0,0,57.02,82.21,7.98,10000000.00,0.90
0,0,58.63,76.22,6.37,10000000.00,0.90
0,0,59.00,74.85,6.00,10000000.00,0.90
0,0,62.19,62.93,2.81,10000000.00,0.90
0,0,66.39,44.88,-1.39,10000000.00,0.90
0,0,68.77,20.13,-3.77,10000000.00,0.90
0,0,70.09,-7.08,-5.09,10000000.00,0.90
0,0,72.11,-49.15,-7.11,10000000.00,0.90
0,0,70.31,-72.25,-5.31,10000000.00,0.90
0,0,66.11,-56.61,-1.11,10000000.00,0.90
0,0,62.23,-29.34,2.77,10000000.00,0.90
0,0,59.99,5.25,5.01,10000000.00,0.90
0,0,58.81,41.43,6.19,10000000.00,0.90
0,0,58.59,75.44,6.41,10000000.00,0.90
0,0,58.91,75.17,6.09,10000000.00,0.90
0,0,59.08,74.51,5.92,10000000.00,0.90
0,0,60.04,70.95,4.96,10000000.00,0.90
0,0,61.21,66.61,3.79,10000000.00,0.90
0,0,64.46,54.48,0.54,10000000.00,0.90
0,0,67.00,38.59,-2.00,10000000.00,0.90
0,0,68.74,15.58,-3.74,10000000.00,0.90
0,0,69.81,-11.44,-4.81,10000000.00,0.90
0,0,70.29,-40.78,-5.29,10000000.00,0.90
0,0,68.87,-61.22,-3.87,10000000.00,0.90
0,0,65.53,-54.46,-0.53,10000000.00,0.90
0,0,62.53,-31.63,2.47,10000000.00,0.90
0,0,60.47,-0.99,4.53,10000000.00,0.90
0,0,59.87,27.26,5.13,10000000.00,0.90
0,0,59.04,60.07,5.96,10000000.00,0.90
0,0,58.91,75.17,6.09,10000000.00,0.90
0,0,58.96,74.96,6.04,10000000.00,0.90
0,0,59.34,73.57,5.66,10000000.00,0.90
0,0,59.51,72.91,5.49,10000000.00,0.90
0,0,61.06,67.17,3.94,10000000.00,0.90
0,0,62.13,63.17,2.87,10000000.00,0.90
0,0,65.97,47.55,-0.97,10000000.00,0.90
0,0,68.49,27.92,-3.49,10000000.00,0.90
0,0,68.53,3.02,-3.53,10000000.00,0.90
0,0,69.72,-18.55,-4.72,10000000.00,0.90
0,0,72.72,-65.36,-7.72,10000000.00,0.90
0,0,68.88,-66.93,-3.88,10000000.00,0.90
0,0,65.89,-55.81,-0.89,10000000.00,0.90
0,0,63.56,-45.03,1.44,10000000.00,0.90
0,0,58.21,-5.49,6.79,10000000.00,0.90
0,1,24.11,178.94,40.89,17361.75,0.90
0,1,39.04,153.18,25.96,17361.75,0.90
0,1,39.67,151.70,25.33,17361.75,0.90
0,1,39.81,151.34,25.19,17361.75,0.90
0,1,39.87,151.20,25.13,17361.75,0.90
0,1,39.90,151.12,25.10,17361.75,0.90
0,1,39.92,151.07,25.08,17361.75,0.90
0,1,39.94,151.04,25.06,17361.75,0.90
0,1,42.65,144.17,22.35,17361.75,0.90
0,1,76.94,30.13,-11.94,17361.75,0.90
0,1,89.20,-148.94,-24.20,17361.75,0.90
0,1,89.70,-150.14,-24.70,17361.75,0.90
0,1,72.76,-107.92,-7.76,17361.75,0.90
0,1,53.35,-2.28,11.65,17361.75,0.90
0,1,44.69,139.43,20.31,17361.75,0.90
0,1,44.22,140.43,20.78,17361.75,0.90
0,1,55.72,111.56,9.28,17361.75,0.90
0,1,86.08,-83.50,-21.08,17361.75,0.90
0,1,87.36,-144.52,-22.36,17361.75,0.90
0,1,78.44,-122.01,-13.44,17361.75,0.90
0,1,63.61,-82.95,1.39,17361.75,0.90
0,1,51.80,38.55,13.20,17361.75,0.90
0,1,44.56,139.72,20.44,17361.75,0.90
0,1,44.43,139.97,20.57,17361.75,0.90
0,1,48.10,130.79,16.90,17361.75,0.90
0,1,67.41,77.47,-2.41,17361.75,0.90
0,1,85.54,-73.53,-20.54,17361.75,0.90
0,1,88.32,-146.84,-23.32,17361.75,0.90
0,1,80.25,-126.31,-15.25,17361.75,0.90
0,1,64.24,-85.90,0.76,17361.75,0.90
0,1,56.81,-4.64,8.19,17361.75,0.90
0,1,50.72,121.67,14.28,17361.75,0.90
0,1,47.64,132.06,17.36,17361.75,0.90
0,1,50.66,124.43,14.34,17361.75,0.90
0,1,63.87,91.44,1.13,17361.75,0.90
0,1,78.05,-15.84,-13.05,17361.75,0.90
0,1,82.86,-133.32,-17.86,17361.75,0.90
0,1,79.82,-125.73,-14.82,17361.75,0.90
0,1,67.91,-96.27,-2.91,17361.75,0.90
0,1,58.80,-43.33,6.20,17361.75,0.90
0,1,52.02,67.47,12.98,17361.75,0.90
0,1,47.06,133.69,17.94,17361.75,0.90
0,1,49.47,127.47,15.53,17361.75,0.90
0,1,54.13,115.90,10.87,17361.75,0.90
0,1,62.56,95.65,2.44,17361.75,0.90
0,1,76.10,-7.70,-11.10,17361.75,0.90
0,1,83.80,-135.57,-18.80,17361.75,0.90
0,1,77.06,-118.76,-12.06,17361.75,0.90
0,1,67.81,-96.03,-2.81,17361.75,0.90
0,1,60.54,-61.00,4.46,17361.75,0.90
0,1,55.62,18.99,9.38,17361.75,0.90
0,1,52.16,120.93,12.84,17361.75,0.90
0,1,52.54,120.00,12.46,17361.75,0.90
0,1,53.26,118.17,11.74,17361.75,0.90
0,1,57.06,108.68,7.94,17361.75,0.90
0,1,67.67,74.76,-2.67,17361.75,0.90
0,1,77.56,-32.68,-12.56,17361.75,0.90
0,1,82.71,-132.97,-17.71,17361.75,0.90
0,1,80.40,-127.25,-15.40,17361.75,0.90
0,1,70.79,-103.27,-5.79,17361.75,0.90
0,1,63.40,-81.60,1.60,17361.75,0.90
0,1,59.16,-33.77,5.84,17361.75,0.90
0,1,55.97,44.76,9.03,17361.75,0.90
0,1,54.76,114.54,10.24,17361.75,0.90
0,1,54.57,115.00,10.43,17361.75,0.90
0,1,55.21,113.39,9.79,17361.75,0.90
0,1,56.88,109.27,8.12,17361.75,0.90
0,1,61.12,98.73,3.88,17361.75,0.90
0,1,69.21,62.06,-4.21,17361.75,0.90
0,1,74.04,-10.41,-9.04,17361.75,0.90
0,1,80.39,-127.36,-15.39,17361.75,0.90
0,1,80.12,-126.54,-15.12,17361.75,0.90
0,1,71.10,-103.79,-6.10,17361.75,0.90
0,1,61.16,-68.93,3.84,17361.75,0.90
0,1,59.78,-22.00,5.22,17361.75,0.90
0,1,58.25,37.72,6.75,17361.75,0.90
0,1,56.69,109.78,8.31,17361.75,0.90
0,1,56.46,110.35,8.54,17361.75,0.90
0,1,57.20,108.45,7.80,17361.75,0.90
0,1,59.25,103.31,5.75,17361.75,0.90
0,1,63.38,92.94,1.62,17361.75,0.90
0,1,71.43,36.27,-6.43,17361.75,0.90
0,1,74.86,-52.09,-9.86,17361.75,0.90
0,1,80.27,-126.97,-15.27,17361.75,0.90
0,1,75.19,-114.34,-10.19,17361.75,0.90
0,1,68.08,-96.90,-3.08,17361.75,0.90
0,1,63.34,-81.90,1.66,17361.75,0.90
0,1,59.80,-38.09,5.20,17361.75,0.90
0,1,57.15,30.35,7.85,17361.75,0.90
0,1,56.35,107.37,8.65,17361.75,0.90
0,1,55.76,112.09,9.24,17361.75,0.90
0,1,55.40,112.94,9.60,17361.75,0.90
0,1,55.39,112.94,9.61,17361.75,0.90
0,1,56.03,111.33,8.97,17361.75,0.90
0,1,58.79,104.43,6.21,17361.75,0.90
0,1,63.99,91.69,1.01,17361.75,0.90
0,1,70.56,52.82,-5.56,17361.75,0.90
0,1,72.47,-28.64,-7.47,17361.75,0.90
0,1,80.66,-127.92,-15.66,17361.75,0.90
0,1,73.29,-109.51,-8.29,17361.75,0.90
0,1,68.72,-98.33,-3.72,17361.75,0.90
0,1,63.01,-71.49,1.99,17361.75,0.90
0,1,59.64,-27.05,5.36,17361.75,0.90
0,1,54.91,54.52,10.09,17361.75,0.90
0,1,53.74,117.04,11.26,17361.75,0.90
0,1,54.47,115.21,10.53,17361.75,0.90
