Geracao,Gbest_Erro,Kp,Ki,Kd
0,11404.27,5.08,1.57,0.02
0,11404.27,5.08,1.57,0.02
0,11404.27,5.08,1.57,0.02
1,11404.27,5.08,1.57,0.02
1,11404.27,5.08,1.57,0.02
1,11404.27,5.08,1.57,0.02
1,11404.27,5.08,1.57,0.02
2,11404.27,5.08,1.57,0.02
2,11404.27,5.08,1.57,0.02
2,11404.27,5.08,1.57,0.02
2,11404.27,5.08,1.57,0.02
3,11404.27,5.08,1.57,0.02
3,11404.27,5.08,1.57,0.02
3,11404.27,5.08,1.57,0.02
3,11404.27,5.08,1.57,0.02
4,10855.48,4.91,1.84,0.61
4,10855.48,4.91,1.84,0.61
4,10855.48,4.91,1.84,0.61
4,10855.48,4.91,1.84,0.61
5,10855.48,4.91,1.84,0.61
5,10855.48,4.91,1.84,0.61
5,10855.48,4.91,1.84,0.61
5,10855.48,4.91,1.84,0.61
6,10855.48,4.91,1.84,0.61
6,10855.48,4.91,1.84,0.61
6,10855.48,4.91,1.84,0.61
6,10855.48,4.91,1.84,0.61
7,10855.48,4.91,1.84,0.61
7,10855.48,4.91,1.84,0.61
7,10855.48,4.91,1.84,0.61
7,10855.48,4.91,1.84,0.61
8,10855.48,4.91,1.84,0.61
8,10855.48,4.91,1.84,0.61
8,10855.48,4.91,1.84,0.61
8,10855.48,4.91,1.84,0.61
9,10855.48,4.91,1.84,0.61
9,10855.48,4.91,1.84,0.61
9,10855.48,4.91,1.84,0.61
9,10855.48,4.91,1.84,0.61
10,10855.48,4.91,1.84,0.61
10,10855.48,4.91,1.84,0.61
10,10855.48,4.91,1.84,0.61
10,10855.48,4.91,1.84,0.61
11,10855.48,4.91,1.84,0.61
11,10855.48,4.91,1.84,0.61
11,10855.48,4.91,1.84,0.61
11,10855.48,4.91,1.84,0.61
12,10855.48,4.91,1.84,0.61
12,10855.48,4.91,1.84,0.61
12,10855.48,4.91,1.84,0.61
12,10855.48,4.91,1.84,0.61
13,10855.48,4.91,1.84,0.61
13,10855.48,4.91,1.84,0.61
13,10855.48,4.91,1.84,0.61
13,10855.48,4.91,1.84,0.61
14,10855.48,4.91,1.84,0.61
14,10855.48,4.91,1.84,0.61
14,10855.48,4.91,1.84,0.61
14,10855.48,4.91,1.84,0.61
15,10855.48,4.91,1.84,0.61
15,10855.48,4.91,1.84,0.61
15,10855.48,4.91,1.84,0.61
15,10855.48,4.91,1.84,0.61
16,10855.48,4.91,1.84,0.61
16,10855.48,4.91,1.84,0.61
16,10855.48,4.91,1.84,0.61
16,10855.48,4.91,1.84,0.61
17,10855.48,4.91,1.84,0.61
17,10855.48,4.91,1.84,0.61
17,10855.48,4.91,1.84,0.61
17,10855.48,4.91,1.84,0.61
18,10855.48,4.91,1.84,0.61
18,10855.48,4.91,1.84,0.61
18,10855.48,4.91,1.84,0.61
18,10855.48,4.91,1.84,0.61
19,10855.48,4.91,1.84,0.61
19,10855.48,4.91,1.84,0.61
19,10855.48,4.91,1.84,0.61
19,10855.48,4.91,1.84,0.61
20,10855.48,4.91,1.84,0.61
20,10855.48,4.91,1.84,0.61
20,10855.48,4.91,1.84,0.61
20,10855.48,4.91,1.84,0.61
21,10855.48,4.91,1.84,0.61
21,10855.48,4.91,1.84,0.61
21,10855.48,4.91,1.84,0.61
21,10855.48,4.91,1.84,0.61
22,10855.48,4.91,1.84,0.61
22,10855.48,4.91,1.84,0.61
22,10855.48,4.91,1.84,0.61
22,10855.48,4.91,1.84,0.61
23,10855.48,4.91,1.84,0.61
23,10855.48,4.91,1.84,0.61
23,10855.48,4.91,1.84,0.61
23,10855.48,4.91,1.84,0.61
24,10855.48,4.91,1.84,0.61
24,10855.48,4.91,1.84,0.61
24,10855.48,4.91,1.84,0.61
24,10855.48,4.91,1.84,0.61
25,10855.48,4.91,1.84,0.61
25,10855.48,4.91,1.84,0.61
25,10855.48,4.91,1.84,0.61
25,10855.48,4.91,1.84,0.61
26,10855.48,4.91,1.84,0.61
26,10855.48,4.91,1.84,0.61
26,10855.48,4.91,1.84,0.61
26,10855.48,4.91,1.84,0.61
27,10855.48,4.91,1.84,0.61
27,10855.48,4.91,1.84,0.61
27,10855.48,4.91,1.84,0.61
27,10855.48,4.91,1.84,0.61
28,10855.48,4.91,1.84,0.61
28,10855.48,4.91,1.84,0.61
28,10855.48,4.91,1.84,0.61
28,10855.48,4.91,1.84,0.61
29,10855.48,4.91,1.84,0.61
29,10855.48,4.91,1.84,0.61
29,10855.48,4.91,1.84,0.61
29,10855.48,4.91,1.84,0.61
30,10855.48,4.91,1.84,0.61
30,10855.48,4.91,1.84,0.61
30,10855.48,4.91,1.84,0.61
30,10855.48,4.91,1.84,0.61
31,10855.48,4.91,1.84,0.61
31,10855.48,4.91,1.84,0.61
31,10855.48,4.91,1.84,0.61
31,10855.48,4.91,1.84,0.61
32,10855.48,4.91,1.84,0.61
32,10855.48,4.91,1.84,0.61
32,10855.48,4.91,1.84,0.61
32,10855.48,4.91,1.84,0.61
33,10855.48,4.91,1.84,0.61
33,10855.48,4.91,1.84,0.61
33,10855.48,4.91,1.84,0.61
33,10855.48,4.91,1.84,0.61
