Ger,Ind,Dist,PWM,Erro,Gbest_Erro
0,0,25.24,265.64,39.76,10000000.00
0,0,39.02,210.82,25.98,10000000.00
0,0,39.65,207.59,25.35,10000000.00
0,0,39.80,206.83,25.20,10000000.00
0,0,39.87,206.52,25.13,10000000.00
0,0,39.90,206.35,25.10,10000000.00
0,0,39.92,206.24,25.08,10000000.00
0,0,39.94,206.17,25.06,10000000.00
0,0,39.95,206.12,25.05,10000000.00
0,0,39.95,206.08,25.05,10000000.00
0,0,41.15,199.98,23.85,10000000.00
0,0,58.81,110.16,6.19,10000000.00
0,0,72.82,22.74,-7.82,10000000.00
0,0,78.96,-117.54,-13.96,10000000.00
0,0,55.56,-14.97,9.44,10000000.00
0,0,43.94,182.73,21.06,10000000.00
0,0,40.95,201.04,24.05,10000000.00
0,0,40.83,201.61,24.17,10000000.00
0,0,44.23,184.32,20.77,10000000.00
0,0,53.69,136.18,11.31,10000000.00
0,0,60.87,99.82,4.13,10000000.00
0,0,71.88,1.61,-6.88,10000000.00
0,0,67.96,-18.19,-2.96,10000000.00
0,0,58.03,53.55,6.97,10000000.00
0,0,46.54,172.62,18.46,10000000.00
0,0,45.16,179.61,19.84,10000000.00
0,0,47.56,167.37,17.44,10000000.00
0,0,53.32,138.09,11.68,10000000.00
0,0,63.44,86.63,1.56,10000000.00
0,0,69.35,38.17,-4.35,10000000.00
0,0,70.51,-8.17,-5.51,10000000.00
0,0,62.33,33.21,2.67,10000000.00
0,0,53.39,137.78,11.61,10000000.00
0,0,50.20,154.01,14.80,10000000.00
0,0,50.51,152.38,14.49,10000000.00
0,0,52.67,141.36,12.33,10000000.00
0,0,63.81,84.74,1.19,10000000.00
0,0,66.68,66.53,-1.68,10000000.00
0,0,69.20,23.24,-4.20,10000000.00
0,0,65.87,21.73,-0.87,10000000.00
0,0,58.26,94.64,6.74,10000000.00
0,0,55.38,127.66,9.62,10000000.00
0,0,53.92,135.05,11.08,10000000.00
0,0,58.26,112.98,6.74,10000000.00
