Iteracao,Gbest_Erro,Kp,Ki,Kd
0.0,11404.27,5.08,1.57,0.02
0.0,11404.27,5.08,1.57,0.02
0.0,11404.27,5.08,1.57,0.02
1.0,11404.27,5.08,1.57,0.02
1.0,11404.27,5.08,1.57,0.02
1.0,11404.27,5.08,1.57,0.02
1.0,11404.27,5.08,1.57,0.02
2.0,11404.27,5.08,1.57,0.02
2.0,11404.27,5.08,1.57,0.02
2.0,11404.27,5.08,1.57,0.02
2.0,11404.27,5.08,1.57,0.02
3.0,11404.27,5.08,1.57,0.02
3.0,11404.27,5.08,1.57,0.02
3.0,11404.27,5.08,1.57,0.02
3.0,11404.27,5.08,1.57,0.02
4.0,10855.48,4.91,1.84,0.61
4.0,10855.48,4.91,1.84,0.61
4.0,10855.48,4.91,1.84,0.61
4.0,10855.48,4.91,1.84,0.61
5.0,10855.48,4.91,1.84,0.61
5.0,10855.48,4.91,1.84,0.61
5.0,10855.48,4.91,1.84,0.61
5.0,10855.48,4.91,1.84,0.61
6.0,10855.48,4.91,1.84,0.61
6.0,10855.48,4.91,1.84,0.61
6.0,10855.48,4.91,1.84,0.61
6.0,10855.48,4.91,1.84,0.61
7.0,10855.48,4.91,1.84,0.61
7.0,10855.48,4.91,1.84,0.61
7.0,10855.48,4.91,1.84,0.61
7.0,10855.48,4.91,1.84,0.61
8.0,10855.48,4.91,1.84,0.61
8.0,10855.48,4.91,1.84,0.61
8.0,10855.48,4.91,1.84,0.61
8.0,10855.48,4.91,1.84,0.61
9.0,10855.48,4.91,1.84,0.61
9.0,10855.48,4.91,1.84,0.61
9.0,10855.48,4.91,1.84,0.61
9.0,10855.48,4.91,1.84,0.61
10.0,10855.48,4.91,1.84,0.61
10.0,10855.48,4.91,1.84,0.61
10.0,10855.48,4.91,1.84,0.61
10.0,10855.48,4.91,1.84,0.61
11.0,10855.48,4.91,1.84,0.61
11.0,10855.48,4.91,1.84,0.61
11.0,10855.48,4.91,1.84,0.61
11.0,10855.48,4.91,1.84,0.61
12.0,10855.48,4.91,1.84,0.61
12.0,10855.48,4.91,1.84,0.61
12.0,10855.48,4.91,1.84,0.61
12.0,10855.48,4.91,1.84,0.61
13.0,10855.48,4.91,1.84,0.61
13.0,10855.48,4.91,1.84,0.61
13.0,10855.48,4.91,1.84,0.61
13.0,10855.48,4.91,1.84,0.61
14.0,10855.48,4.91,1.84,0.61
14.0,10855.48,4.91,1.84,0.61
14.0,10855.48,4.91,1.84,0.61
14.0,10855.48,4.91,1.84,0.61
15.0,10855.48,4.91,1.84,0.61
15.0,10855.48,4.91,1.84,0.61
15.0,10855.48,4.91,1.84,0.61
15.0,10855.48,4.91,1.84,0.61
16.0,10855.48,4.91,1.84,0.61
16.0,10855.48,4.91,1.84,0.61
16.0,10855.48,4.91,1.84,0.61
16.0,10855.48,4.91,1.84,0.61
17.0,10855.48,4.91,1.84,0.61
17.0,10855.48,4.91,1.84,0.61
17.0,10855.48,4.91,1.84,0.61
17.0,10855.48,4.91,1.84,0.61
18.0,10855.48,4.91,1.84,0.61
18.0,10855.48,4.91,1.84,0.61
18.0,10855.48,4.91,1.84,0.61
18.0,10855.48,4.91,1.84,0.61
19.0,10855.48,4.91,1.84,0.61
19.0,10855.48,4.91,1.84,0.61
19.0,10855.48,4.91,1.84,0.61
19.0,10855.48,4.91,1.84,0.61
20.0,10855.48,4.91,1.84,0.61
20.0,10855.48,4.91,1.84,0.61
20.0,10855.48,4.91,1.84,0.61
20.0,10855.48,4.91,1.84,0.61
21.0,10855.48,4.91,1.84,0.61
21.0,10855.48,4.91,1.84,0.61
21.0,10855.48,4.91,1.84,0.61
21.0,10855.48,4.91,1.84,0.61
22.0,10855.48,4.91,1.84,0.61
22.0,10855.48,4.91,1.84,0.61
22.0,10855.48,4.91,1.84,0.61
22.0,10855.48,4.91,1.84,0.61
23.0,10855.48,4.91,1.84,0.61
23.0,10855.48,4.91,1.84,0.61
23.0,10855.48,4.91,1.84,0.61
23.0,10855.48,4.91,1.84,0.61
24.0,10855.48,4.91,1.84,0.61
24.0,10855.48,4.91,1.84,0.61
24.0,10855.48,4.91,1.84,0.61
24.0,10855.48,4.91,1.84,0.61
25.0,10855.48,4.91,1.84,0.61
25.0,10855.48,4.91,1.84,0.61
25.0,10855.48,4.91,1.84,0.61
25.0,10855.48,4.91,1.84,0.61
26.0,10855.48,4.91,1.84,0.61
26.0,10855.48,4.91,1.84,0.61
26.0,10855.48,4.91,1.84,0.61
26.0,10855.48,4.91,1.84,0.61
27.0,10855.48,4.91,1.84,0.61
27.0,10855.48,4.91,1.84,0.61
27.0,10855.48,4.91,1.84,0.61
27.0,10855.48,4.91,1.84,0.61
28.0,10855.48,4.91,1.84,0.61
28.0,10855.48,4.91,1.84,0.61
28.0,10855.48,4.91,1.84,0.61
28.0,10855.48,4.91,1.84,0.61
29.0,10855.48,4.91,1.84,0.61
29.0,10855.48,4.91,1.84,0.61
29.0,10855.48,4.91,1.84,0.61
29.0,10855.48,4.91,1.84,0.61
30.0,10855.48,4.91,1.84,0.61
30.0,10855.48,4.91,1.84,0.61
30.0,10855.48,4.91,1.84,0.61
30.0,10855.48,4.91,1.84,0.61
31.0,10855.48,4.91,1.84,0.61
31.0,10855.48,4.91,1.84,0.61
31.0,10855.48,4.91,1.84,0.61
31.0,10855.48,4.91,1.84,0.61
32.0,10855.48,4.91,1.84,0.61
32.0,10855.48,4.91,1.84,0.61
32.0,10855.48,4.91,1.84,0.61
32.0,10855.48,4.91,1.84,0.61
33.0,10855.48,4.91,1.84,0.61
33.0,10855.48,4.91,1.84,0.61
33.0,10855.48,4.91,1.84,0.61
33.0,10855.48,4.91,1.84,0.61
34.0,10855.48,4.91,1.84,0.61
34.0,10855.48,4.91,1.84,0.61
34.0,10855.48,4.91,1.84,0.61
34.0,10855.48,4.91,1.84,0.61
35.0,10855.48,4.91,1.84,0.61
35.0,10855.48,4.91,1.84,0.61
35.0,10855.48,4.91,1.84,0.61
35.0,10855.48,4.91,1.84,0.61
36.0,10855.48,4.91,1.84,0.61
36.0,10855.48,4.91,1.84,0.61
36.0,10855.48,4.91,1.84,0.61
36.0,10855.48,4.91,1.84,0.61
37.0,10855.48,4.91,1.84,0.61
37.0,10855.48,4.91,1.84,0.61
37.0,10855.48,4.91,1.84,0.61
37.0,10855.48,4.91,1.84,0.61
38.0,10855.48,4.91,1.84,0.61
38.0,10855.48,4.91,1.84,0.61
38.0,10855.48,4.91,1.84,0.61
38.0,10855.48,4.91,1.84,0.61
39.0,10855.48,4.91,1.84,0.61
39.0,10855.48,4.91,1.84,0.61
39.0,10855.48,4.91,1.84,0.61
39.0,10855.48,4.91,1.84,0.61
40.0,10855.48,4.91,1.84,0.61
40.0,10855.48,4.91,1.84,0.61
40.0,10855.48,4.91,1.84,0.61
40.0,10855.48,4.91,1.84,0.61
41.0,10855.48,4.91,1.84,0.61
41.0,10855.48,4.91,1.84,0.61
41.0,10855.48,4.91,1.84,0.61
41.0,10855.48,4.91,1.84,0.61
42.0,10855.48,4.91,1.84,0.61
42.0,10855.48,4.91,1.84,0.61
42.0,10855.48,4.91,1.84,0.61
42.0,10855.48,4.91,1.84,0.61
43.0,10855.48,4.91,1.84,0.61
43.0,10855.48,4.91,1.84,0.61
43.0,10855.48,4.91,1.84,0.61
43.0,10855.48,4.91,1.84,0.61
44.0,10855.48,4.91,1.84,0.61
44.0,10855.48,4.91,1.84,0.61
44.0,10855.48,4.91,1.84,0.61
44.0,10855.48,4.91,1.84,0.61
45.0,10855.48,4.91,1.84,0.61
45.0,10855.48,4.91,1.84,0.61
45.0,10855.48,4.91,1.84,0.61
45.0,10855.48,4.91,1.84,0.61
46.0,10855.48,4.91,1.84,0.61
46.0,10855.48,4.91,1.84,0.61
46.0,10855.48,4.91,1.84,0.61
46.0,10855.48,4.91,1.84,0.61
47.0,10855.48,4.91,1.84,0.61
47.0,10855.48,4.91,1.84,0.61
47.0,10855.48,4.91,1.84,0.61
47.0,10855.48,4.91,1.84,0.61
48.0,10855.48,4.91,1.84,0.61
48.0,10855.48,4.91,1.84,0.61
48.0,10855.48,4.91,1.84,0.61
48.0,10855.48,4.91,1.84,0.61
49.0,10855.48,4.91,1.84,0.61
