Iteração,Gbest_Erro, Kp_best, Ki_best, Kd_best
0,22435.39,5.08,1.57,0.02
0,22435.39,5.08,1.57,0.02
0,9130.09,5.53,0.26,2.38
1,9130.09,5.53,0.26,2.38
1,9130.09,5.53,0.26,2.38
1,9130.09,5.53,0.26,2.38
1,8694.94,5.53,0.26,2.38
2,8694.94,5.53,0.26,2.38
2,8694.94,5.53,0.26,2.38
2,8694.94,5.53,0.26,2.38
2,8694.94,5.53,0.26,2.38
3,8254.55,5.47,0.23,2.31
3,8254.55,5.47,0.23,2.31
3,8254.55,5.47,0.23,2.31
3,8254.55,5.47,0.23,2.31
4,8254.55,5.47,0.23,2.31
4,8254.55,5.47,0.23,2.31
4,8254.55,5.47,0.23,2.31
4,8254.55,5.47,0.23,2.31
5,8254.55,5.47,0.23,2.31
5,8254.55,5.47,0.23,2.31
5,8254.55,5.47,0.23,2.31
5,8254.55,5.47,0.23,2.31
6,8254.55,5.47,0.23,2.31
6,8254.55,5.47,0.23,2.31
6,8254.55,5.47,0.23,2.31
6,8254.55,5.47,0.23,2.31
7,8254.55,5.47,0.23,2.31
7,8254.55,5.47,0.23,2.31
7,8254.55,5.47,0.23,2.31
7,8254.55,5.47,0.23,2.31
8,8254.55,5.47,0.23,2.31
8,8254.55,5.47,0.23,2.31
8,8254.55,5.47,0.23,2.31
8,8254.55,5.47,0.23,2.31
9,8254.55,5.47,0.23,2.31
9,8254.55,5.47,0.23,2.31
9,8254.55,5.47,0.23,2.31
9,8254.55,5.47,0.23,2.31
10,8254.55,5.47,0.23,2.31
10,8254.55,5.47,0.23,2.31
10,8254.55,5.47,0.23,2.31
10,8254.55,5.47,0.23,2.31
11,8254.55,5.47,0.23,2.31
11,8254.55,5.47,0.23,2.31
11,8254.55,5.47,0.23,2.31
11,8254.55,5.47,0.23,2.31
12,8254.55,5.47,0.23,2.31
12,8254.55,5.47,0.23,2.31
12,8254.55,5.47,0.23,2.31
12,8254.55,5.47,0.23,2.31
13,8254.55,5.47,0.23,2.31
13,8254.55,5.47,0.23,2.31
13,8254.55,5.47,0.23,2.31
13,8254.55,5.47,0.23,2.31
14,8254.55,5.47,0.23,2.31
14,8254.55,5.47,0.23,2.31
14,8254.55,5.47,0.23,2.31
14,8254.55,5.47,0.23,2.31
15,8254.55,5.47,0.23,2.31
15,8254.55,5.47,0.23,2.31
15,8254.55,5.47,0.23,2.31
15,8254.55,5.47,0.23,2.31
16,8254.55,5.47,0.23,2.31
16,8254.55,5.47,0.23,2.31
16,8254.55,5.47,0.23,2.31
16,8254.55,5.47,0.23,2.31
17,8254.55,5.47,0.23,2.31
17,8254.55,5.47,0.23,2.31
17,8254.55,5.47,0.23,2.31
17,8254.55,5.47,0.23,2.31
18,8254.55,5.47,0.23,2.31
18,8254.55,5.47,0.23,2.31
18,8254.55,5.47,0.23,2.31
18,8254.55,5.47,0.23,2.31
19,8254.55,5.47,0.23,2.31
19,8254.55,5.47,0.23,2.31
19,8254.55,5.47,0.23,2.31
19,8254.55,5.47,0.23,2.31
20,8254.55,5.47,0.23,2.31
20,8254.55,5.47,0.23,2.31
20,8254.55,5.47,0.23,2.31
20,8254.55,5.47,0.23,2.31
21,8254.55,5.47,0.23,2.31
21,8254.55,5.47,0.23,2.31
21,8254.55,5.47,0.23,2.31
21,8254.55,5.47,0.23,2.31
22,8254.55,5.47,0.23,2.31
22,8254.55,5.47,0.23,2.31
22,8254.55,5.47,0.23,2.31
22,8254.55,5.47,0.23,2.31
23,8254.55,5.47,0.23,2.31
23,8254.55,5.47,0.23,2.31
23,8254.55,5.47,0.23,2.31
23,8254.55,5.47,0.23,2.31
24,8254.55,5.47,0.23,2.31
24,8254.55,5.47,0.23,2.31
24,8254.55,5.47,0.23,2.31
24,8254.55,5.47,0.23,2.31
25,8254.55,5.47,0.23,2.31
25,8254.55,5.47,0.23,2.31
25,8254.55,5.47,0.23,2.31
25,8254.55,5.47,0.23,2.31
26,8254.55,5.47,0.23,2.31
26,8254.55,5.47,0.23,2.31
26,8254.55,5.47,0.23,2.31
26,8254.55,5.47,0.23,2.31
27,8254.55,5.47,0.23,2.31
27,8254.55,5.47,0.23,2.31
27,8254.55,5.47,0.23,2.31
27,8254.55,5.47,0.23,2.31
28,8254.55,5.47,0.23,2.31
28,8254.55,5.47,0.23,2.31
28,8254.55,5.47,0.23,2.31
28,8254.55,5.47,0.23,2.31
29,8254.55,5.47,0.23,2.31
29,8254.55,5.47,0.23,2.31
29,8254.55,5.47,0.23,2.31
29,8254.55,5.47,0.23,2.31
30,8254.55,5.47,0.23,2.31
30,8254.55,5.47,0.23,2.31
30,8254.55,5.47,0.23,2.31
30,8254.55,5.47,0.23,2.31
31,8254.55,5.47,0.23,2.31
31,8254.55,5.47,0.23,2.31
31,8254.55,5.47,0.23,2.31
31,8254.55,5.47,0.23,2.31
32,8254.55,5.47,0.23,2.31
32,8254.55,5.47,0.23,2.31
32,8254.55,5.47,0.23,2.31
32,8254.55,5.47,0.23,2.31
33,8254.55,5.47,0.23,2.31
33,8254.55,5.47,0.23,2.31
33,8254.55,5.47,0.23,2.31
33,8254.55,5.47,0.23,2.31
34,8254.55,5.47,0.23,2.31
34,8254.55,5.47,0.23,2.31
34,8254.55,5.47,0.23,2.31
34,8254.55,5.47,0.23,2.31
35,8254.55,5.47,0.23,2.31
35,8254.55,5.47,0.23,2.31
35,8254.55,5.47,0.23,2.31
35,8254.55,5.47,0.23,2.31
36,8254.55,5.47,0.23,2.31
36,8254.55,5.47,0.23,2.31
36,8254.55,5.47,0.23,2.31
36,8254.55,5.47,0.23,2.31
37,8254.55,5.47,0.23,2.31
37,8254.55,5.47,0.23,2.31
37,8254.55,5.47,0.23,2.31
37,8254.55,5.47,0.23,2.31
