Iteracao,Gbest_Erro,Kp,Ki,Kd
0.0,22435.39,5.08,1.57,0.02
0.0,22435.39,5.08,1.57,0.02
0.0,9130.09,5.53,0.26,2.38
1.0,9130.09,5.53,0.26,2.38
1.0,9130.09,5.53,0.26,2.38
1.0,9130.09,5.53,0.26,2.38
1.0,8694.94,5.53,0.26,2.38
2.0,8694.94,5.53,0.26,2.38
2.0,8694.94,5.53,0.26,2.38
2.0,8694.94,5.53,0.26,2.38
2.0,8694.94,5.53,0.26,2.38
3.0,8254.55,5.47,0.23,2.31
3.0,8254.55,5.47,0.23,2.31
3.0,8254.55,5.47,0.23,2.31
3.0,8254.55,5.47,0.23,2.31
4.0,8254.55,5.47,0.23,2.31
4.0,8254.55,5.47,0.23,2.31
4.0,8254.55,5.47,0.23,2.31
4.0,8254.55,5.47,0.23,2.31
5.0,8254.55,5.47,0.23,2.31
5.0,8254.55,5.47,0.23,2.31
5.0,8254.55,5.47,0.23,2.31
5.0,8254.55,5.47,0.23,2.31
6.0,8254.55,5.47,0.23,2.31
6.0,8254.55,5.47,0.23,2.31
6.0,8254.55,5.47,0.23,2.31
6.0,8254.55,5.47,0.23,2.31
7.0,8254.55,5.47,0.23,2.31
7.0,8254.55,5.47,0.23,2.31
7.0,8254.55,5.47,0.23,2.31
7.0,8254.55,5.47,0.23,2.31
8.0,8254.55,5.47,0.23,2.31
8.0,8254.55,5.47,0.23,2.31
8.0,8254.55,5.47,0.23,2.31
8.0,8254.55,5.47,0.23,2.31
9.0,8254.55,5.47,0.23,2.31
9.0,8254.55,5.47,0.23,2.31
9.0,8254.55,5.47,0.23,2.31
9.0,8254.55,5.47,0.23,2.31
10.0,8254.55,5.47,0.23,2.31
10.0,8254.55,5.47,0.23,2.31
10.0,8254.55,5.47,0.23,2.31
10.0,8254.55,5.47,0.23,2.31
11.0,8254.55,5.47,0.23,2.31
11.0,8254.55,5.47,0.23,2.31
11.0,8254.55,5.47,0.23,2.31
11.0,8254.55,5.47,0.23,2.31
12.0,8254.55,5.47,0.23,2.31
12.0,8254.55,5.47,0.23,2.31
12.0,8254.55,5.47,0.23,2.31
12.0,8254.55,5.47,0.23,2.31
13.0,8254.55,5.47,0.23,2.31
13.0,8254.55,5.47,0.23,2.31
13.0,8254.55,5.47,0.23,2.31
13.0,8254.55,5.47,0.23,2.31
14.0,8254.55,5.47,0.23,2.31
14.0,8254.55,5.47,0.23,2.31
14.0,8254.55,5.47,0.23,2.31
14.0,8254.55,5.47,0.23,2.31
15.0,8254.55,5.47,0.23,2.31
15.0,8254.55,5.47,0.23,2.31
15.0,8254.55,5.47,0.23,2.31
15.0,8254.55,5.47,0.23,2.31
16.0,8254.55,5.47,0.23,2.31
16.0,8254.55,5.47,0.23,2.31
16.0,8254.55,5.47,0.23,2.31
16.0,8254.55,5.47,0.23,2.31
17.0,8254.55,5.47,0.23,2.31
17.0,8254.55,5.47,0.23,2.31
17.0,8254.55,5.47,0.23,2.31
17.0,8254.55,5.47,0.23,2.31
18.0,8254.55,5.47,0.23,2.31
18.0,8254.55,5.47,0.23,2.31
18.0,8254.55,5.47,0.23,2.31
18.0,8254.55,5.47,0.23,2.31
19.0,8254.55,5.47,0.23,2.31
19.0,8254.55,5.47,0.23,2.31
19.0,8254.55,5.47,0.23,2.31
19.0,8254.55,5.47,0.23,2.31
20.0,8254.55,5.47,0.23,2.31
20.0,8254.55,5.47,0.23,2.31
20.0,8254.55,5.47,0.23,2.31
20.0,8254.55,5.47,0.23,2.31
21.0,8254.55,5.47,0.23,2.31
21.0,8254.55,5.47,0.23,2.31
21.0,8254.55,5.47,0.23,2.31
21.0,8254.55,5.47,0.23,2.31
22.0,8254.55,5.47,0.23,2.31
22.0,8254.55,5.47,0.23,2.31
22.0,8254.55,5.47,0.23,2.31
22.0,8254.55,5.47,0.23,2.31
23.0,8254.55,5.47,0.23,2.31
23.0,8254.55,5.47,0.23,2.31
23.0,8254.55,5.47,0.23,2.31
23.0,8254.55,5.47,0.23,2.31
24.0,8254.55,5.47,0.23,2.31
24.0,8254.55,5.47,0.23,2.31
24.0,8254.55,5.47,0.23,2.31
24.0,8254.55,5.47,0.23,2.31
25.0,8254.55,5.47,0.23,2.31
25.0,8254.55,5.47,0.23,2.31
25.0,8254.55,5.47,0.23,2.31
25.0,8254.55,5.47,0.23,2.31
26.0,8254.55,5.47,0.23,2.31
26.0,8254.55,5.47,0.23,2.31
26.0,8254.55,5.47,0.23,2.31
26.0,8254.55,5.47,0.23,2.31
27.0,8254.55,5.47,0.23,2.31
27.0,8254.55,5.47,0.23,2.31
27.0,8254.55,5.47,0.23,2.31
27.0,8254.55,5.47,0.23,2.31
28.0,8254.55,5.47,0.23,2.31
28.0,8254.55,5.47,0.23,2.31
28.0,8254.55,5.47,0.23,2.31
28.0,8254.55,5.47,0.23,2.31
29.0,8254.55,5.47,0.23,2.31
29.0,8254.55,5.47,0.23,2.31
29.0,8254.55,5.47,0.23,2.31
29.0,8254.55,5.47,0.23,2.31
30.0,8254.55,5.47,0.23,2.31
30.0,8254.55,5.47,0.23,2.31
30.0,8254.55,5.47,0.23,2.31
30.0,8254.55,5.47,0.23,2.31
31.0,8254.55,5.47,0.23,2.31
31.0,8254.55,5.47,0.23,2.31
31.0,8254.55,5.47,0.23,2.31
31.0,8254.55,5.47,0.23,2.31
32.0,8254.55,5.47,0.23,2.31
32.0,8254.55,5.47,0.23,2.31
32.0,8254.55,5.47,0.23,2.31
32.0,8254.55,5.47,0.23,2.31
33.0,8254.55,5.47,0.23,2.31
33.0,8254.55,5.47,0.23,2.31
33.0,8254.55,5.47,0.23,2.31
33.0,8254.55,5.47,0.23,2.31
34.0,8254.55,5.47,0.23,2.31
34.0,8254.55,5.47,0.23,2.31
34.0,8254.55,5.47,0.23,2.31
34.0,8254.55,5.47,0.23,2.31
35.0,8254.55,5.47,0.23,2.31
35.0,8254.55,5.47,0.23,2.31
35.0,8254.55,5.47,0.23,2.31
35.0,8254.55,5.47,0.23,2.31
36.0,8254.55,5.47,0.23,2.31
36.0,8254.55,5.47,0.23,2.31
